 ,4096
0,2.387485
8,0.37138655555555555
16,0.4213208823529412
24,0.32469796
32,1.3022645454545452
40,1.5140148780487803
48,1.5981532244897956
56,1.7256909122807018
64,1.7189891999999998
72,1.8118721780821916
80,1.7920875061728392
88,1.824145842696629
96,1.8263029587628867
104,1.8554169142857142
112,1.8635059911504426
120,2.1901721900826447
128,1.8840773100775192
136,1.906502620437956
144,1.9066949172413792
152,1.9068671045751635
160,1.933714559006211
168,1.9551948165680473
176,1.9612447401129942
184,1.9512850378378377
192,1.9495732435233157
200,1.9527489253731343
208,1.95111214354067
216,1.9671996221198158
224,1.9566765955555556
232,1.9673696137339054
240,1.9753714066390042
248,1.9828590281124496
256,4.8307089494163415
264,8.270608415094339
272,11.753772307692307
280,15.531397081850534
288,12.011775743944636
296,13.874744478114478
304,15.733917540983605
312,17.528563993610224
320,14.235658224299065
328,15.95043170212766
336,16.86117002967359
344,17.881916637681158
352,15.880495127478753
360,16.652873213296395
368,17.572924823848236
376,18.593251883289124
384,16.805413896103897
392,18.0306755216285
400,17.98056034912718
408,18.189250024449876
416,17.233404916067148
424,17.605595270588235
432,18.052253787528866
440,18.43939662131519
448,17.58975585746102
456,17.720676411378555
464,18.08327348387097
472,17.3534321987315
480,17.640585634095633
488,17.937872985685072
496,18.254412474849094
504,17.672116693069306
512,17.861924814814813
520,18.513319385796546
528,18.56732190926276
536,18.68195897579143
544,18.547910990825688
552,18.884013363471972
560,18.784953279857397
568,18.23551811950791
576,18.313706429809358
584,18.58565246153846
592,18.640903119730186
600,18.829748585690513
608,18.715687011494254
616,18.612322285251214
624,18.656762783999998
632,18.337996951026856
640,18.608229422776912
648,18.65107696456086
656,18.714684550989347
664,18.58289076691729
672,18.68127193164933
680,18.6932012041116
688,18.732574615384614
696,18.97656657101865
704,18.76800265248227
712,19.521791795231415
720,19.126370818307905
728,18.556227722908094
736,18.74353895522388
744,19.253704536912753
752,18.985737290836653
760,18.754777043363994
768,18.820460429128737
776,19.118316177606175
784,18.85656942675159
792,19.04568740226986
800,18.950848476903868
808,18.79886211372064
816,18.96545611995104
824,18.69473103030303
832,19.082683229291717
840,18.918192675386443
848,18.80742011778563
856,18.82129365227538
864,18.779708601156067
872,19.00689662084765
880,19.089040113507377
888,19.030054791901012
896,18.84968647714604
904,18.788583613259668
912,18.864530985761224
920,18.91323622149837
928,19.053620871905274
936,19.369969018143006
944,18.917976380952382
952,20.312411731374606
960,18.771942414151923
968,19.691207554179563
976,19.422447062436028
984,18.838104994923857
992,19.498996324269886
1000,18.77073621378621
1008,18.981570535183348
1016,19.339332772861358
1024,26.413736487804876
1032,25.42336398838335
1040,25.686678194044184
1048,26.037014680648234
1056,26.110999621570482
1064,26.901239436619715
1072,27.190183317800557
1080,25.442948381128584
1088,27.316862350780532
1096,26.421210483135823
1104,26.229925701357466
1112,26.08429254267745
1120,26.196311775200712
1128,26.349037289636847
1136,27.00356824978012
1144,26.606383056768557
1152,25.800575108412833
1160,26.445354952627042
1168,26.10099084687767
1176,26.12642888700085
1184,26.47388430379747
1192,25.695982732606875
1200,25.44530224812656
1208,26.58027138130686
1216,27.896496877567788
1224,26.622893959183674
1232,27.805583617193836
1240,27.39547655116841
1248,27.56407822257806
1256,28.338326332537786
1264,26.80022687747035
1272,27.68207274155538
1280,26.800963544106164
1288,28.560914429790532
1296,27.611622976098687
1304,28.283921915708813
1312,27.3478860624524
1320,27.941346025738078
1328,29.677390669676445
1336,26.428405385190725
1344,27.087748029739775
1352,29.715630007390985
1360,27.506072593681115
1368,29.368332651570487
1376,30.515421931735656
1384,27.20181465703971
1392,27.559769418521178
1400,27.300149678800853
1408,27.619592264017033
1416,28.777871418489763
1424,29.286482666666668
1432,28.556519818562457
1440,28.331709576682858
1448,29.262756107660454
1456,27.987813177762522
1464,28.715007303754266
1472,29.012886286490154
1480,28.50150898041863
1488,28.12389986568166
1496,30.04690541082164
1504,29.030548504983386
1512,28.75081077329808
1520,27.375238921761998
1528,28.231346500981033
1536,30.818283929733248
1544,29.63881055016181
1552,29.17866406954282
1560,29.151482447149263
1568,27.93768298279159
1576,30.823839315155354
1584,29.884985741324922
1592,28.9855366603892
1600,29.049473953778886
1608,30.032751025481662
1616,29.470748670377237
1624,31.235649907692306
1632,31.930601592161665
1640,29.738082510664228
1648,27.827447968465734
1656,30.978230235365114
1664,30.34185141141141
1672,30.111137776449493
1680,30.308703093396787
1688,31.182900592066307
1696,30.8952095462581
1704,33.7748611143695
1712,32.02825761821366
1720,31.962611504938984
1728,30.93097975708502
1736,30.018809671848015
1744,30.620008194842406
1752,30.589225955504848
1760,30.39603276547416
1768,33.55165466365178
1776,31.00909048958919
1784,28.783572661064422
1792,32.11719921918572
1800,30.754942809550247
1808,33.57524510779436
1816,33.16462377545404
1824,30.167344712328767
1832,33.109584669939984
1840,31.331687995654537
1848,34.06265781503515
1856,30.36747210554658
1864,32.15743871313673
1872,29.394236038441004
1880,31.42696895268474
1888,31.041096664902064
1896,31.51429857670005
1904,31.958460629921255
1912,32.423868426555146
1920,32.13969916710047
1928,31.51133649559357
1936,32.958879143004644
1944,30.982067557840615
1952,33.96023210445468
1960,32.36070948495665
1968,31.938219857795833
1976,33.33059484066768
1984,32.78732549118388
1992,33.70989859508279
2000,34.57736896551724
2008,32.633319113987056
2016,34.65818582052553
2024,32.94139797530864
2032,33.751263600590256
2040,32.0046984811367
2048,33.883876915568564
2080,35.29026362325805
2112,36.043905111216276
2144,34.259574965034965
2176,33.64632053284336
2208,35.25566351290176
2240,37.96964096385542
2272,41.216415046194456
2304,41.22425292841648
2336,40.251137783483095
2368,39.08259531447868
2400,39.35720795501874
2432,40.7040188244965
2464,41.279760933062875
2496,39.92846359631558
2528,39.3099546856465
2560,38.856062007028505
2592,38.72642464327034
2624,42.14706853333333
2656,42.01686059465562
2688,41.6944200818148
2720,41.344466446159494
2752,42.61569665819106
2784,40.18861644524237
2816,41.78310631877884
2848,42.85573285363285
2880,42.29685331482124
2912,41.68468489529695
2944,42.3504979286927
2976,41.23764820288881
3008,41.068867929544695
3040,41.84575813877014
3072,42.26462219329645
3104,40.229698937198066
3136,41.4175752948677
3168,41.27056746607762
3200,40.69390240549828
3232,41.339749551500155
3264,39.369737335375184
3296,40.49383111919927
3328,41.95490312406128
3360,42.02428223742933
3392,40.628760359563806
3424,42.995642277372255
3456,39.517469395429565
3488,42.76807466322729
3520,39.6535424027265
3552,41.460125105544606
3584,42.27546661087866
3616,41.86184647497927
3648,40.69651055083584
3680,42.003131920673724
3712,43.608734904389976
3744,39.92104424566088
3776,43.666259941752706
3808,43.47491719611446
3840,42.851657354855504
3872,41.81951520784921
3904,41.85588299615877
3936,44.29309230378461
3968,42.99758825900731
4000,42.033102574356406
4032,40.83528770146293
4064,42.14659867158671
4096,132.9812245545521
4128,145.59668757568417
4160,143.90320547945205
4192,130.61985666587168
4224,149.97361396449702
4256,139.64852360817477
4288,156.41951154115176
4320,150.28834066188384
4352,157.73964759935677
4384,148.5304237172178
4416,164.42674598143537
4448,144.03258574960665
4480,137.24975139477795
4512,149.8195772213605
4544,153.38737513751374
