8,9000.000000
16,15000.000000
24,16000.000000
32,22000.000000
40,30000.000000
48,33000.000000
56,84000.000000
64,96000.000000
80,120000.000000
96,144000.000000
112,169000.000000
128,193000.000000
160,292000.000000
192,347000.000000
224,492000.000000
256,607000.000000
320,859000.000000
384,1069000.000000
448,1272000.000000
512,1453000.000000
640,1975000.000000
768,2487000.000000
896,3010000.000000
1024,3633000.000000
1280,4771000.000000
1536,6031000.000000
1792,7530000.000000
2048,9524000.000000
2560,15082000.000000
3072,22113000.000000
3584,29282000.000000
4096,35437000.000000
5120,46849000.000000
6144,57511000.000000
7168,71004000.000000
8192,90376000.000000
10240,123787000.000000
12288,188709000.000000
14336,275147000.000000
16384,393583000.000000
20480,740868000.000000
24576,1225705000.000000
28672,1681862000.000000
32768,2113859000.000000
40960,2970245000.000000
49152,3984108000.000000
57344,4971991000.000000
